Score,Rank,Text
1,0,More explosions in the sky @ Battersea Park Fireworks https://t.co/owxzMBTwK0
1,1,#AlexandraPalace #Fireworks #London #northlondon @ Fireworks Festival Alexandra Palace https://t.co/DEXV88fy2e
1,2,Fireworks @ Underhill Junior School https://t.co/yYT1olxIs9
1,2,I LOVE FIREWORKS @ Battersea Park https://t.co/VxHilPUJDZ
1,5,#southwarkfireworks @ Southwark Park Fireworks https://t.co/cPoSyzVR46
2,5,To the inconsiderate arsehole who is letting off fireworks at 11.30 at night #fuckoff that is all........
-1,5,WHO THE FUCK STARTS A FIREWORKS DISPLAY AT 3 IN THE MORNING
1,6,Fireworks _Ÿ_‰_Ÿ’¥ #grrc #christmassy #feelingfestive #love @ Goodwood House https://t.co/Mwy5sIBIHx
2,9,The finale of last night's #fireworks @castletooting. Amazing #display byâ€_ https://t.co/hPXWfSnppU
1,11,Ubiquitous fireworks shot. But weird watching them in 18 degrees but hoâ€_ https://t.co/xAmUA8otum
1,12,Just posted a video @ LBL Blackheath Fireworks https://t.co/lxm0dpS043
1,13,#Fireworks #AlexandraPalace #London @ Fireworks Festival Alexandra Palace https://t.co/YHC0pHpp2d
2,13,@krisreadsbooks @rnli_teddington Night starts from 6pm . Fireworks from 7.30 is . See you later.
0,14,#BigSmiles tonight with my girl francesca_small at the #fireworks atâ€_ https://t.co/30erD7sSNw
0,14,Carousel at the fireworks! #childsplay #fireworks #funatthefair @ Bishop's Park https://t.co/kIU5TNvPH9
-2,14,The only thing better than the fireworks was the soundtrack ;) @ South Wimbledon https://t.co/3kmVs0dG8Q
-2,18,#fireworks #worktime @ Mercedes-Benz World Brooklands https://t.co/dMfLD2tD2L
1,18,Blackheath Fireworks â˜„ a tradition  can't miss a year _Ÿ_†_ŸŒ _Ÿ_‡ #fireworks #blackheath #5thofnovemberâ€_ https://t.co/lU8qjEwW8S
1,19,#batterseapark #fireworks #guyfawkesnight @ Battersea Park Fireworks https://t.co/gEDORkgDPs
1,19,#southwarkfireworks @ Southwark Park Fireworks https://t.co/NOTYXa8akt
1,19,5/12/2015 - Nothing beats fireworks and a good view  #vscocam #thisislondon #d3300  A9 @â€_ https://t.co/BxgVGZ5qg7
-2,20,âù_ï¸è Fireworks by Embrace  https://t.co/4iYeXdPzp7
1,23,#southwarkfireworks @ Southwark Park Fireworks https://t.co/657NS6fUEc
1,23,Fantastic fireworks display!! @ Barnham Fireworks https://t.co/qzkCj3Ze4T
1,24,Expect nothing but fireworks from the @caterhammsport championships this weekend brandshatchofficialâ€_ https://t.co/HDGcyt23tw
1,24,Sparks _ŸŒŸ @ LBL Blackheath Fireworks https://t.co/rQo1JX1l91
2,26,â›ªï¸è_Ÿ_†_Ÿç‚ #fireworks #bonfirenight #Blackheath @ Blackheath  London https://t.co/j7u8xgqtKJ
2,26,FIREWORKS #regram hallysandlittleh #love #fireworks #bonfirenight #guyfawkes #love #happy #smileâ€_ https://t.co/MAJn8OWhWI
1,26,Fireworks! @ Blackheath Common https://t.co/fAKaH7QQEg
-2,26,Lecente Fireworks Collection NOW Available #lecente #fireworks #spark #flame @ Jenny Harris Nailâ€_ https://t.co/3DIyg4B5lM
1,28,#Infatuated _Ÿê»_Ÿê» @ Fireworks Festival Alexandra Palace https://t.co/5xfDn1ebkX
1,28,Fireworks with the flat girlies & my first baileys this winter _Ÿ’«_ŸŒŸâù„ï¸è #fireworks #winterfeelsâ€_ https://t.co/efZPFABLR4
2,29,#Fireworks! _Ÿ_†#bonfirenight #blackheath #keepitfree @ Blackheath  London https://t.co/LEMBlwpTOn
-1,29,@southbanklondon @skylarkgallery @OxoTowerWharf @GabrielsWharf FIREWORKS CANCELLED
1,30,#southwarkfireworks @ Southwark Park Fireworks https://t.co/ldyUdBrhPX
-1,31,Crying over this. #fireworks #fireworkshow #fireworksfestival #laymedown #samsmith _Ÿ˜__Ÿ˜” @ Fireworksâ€_ https://t.co/vLIpe1vUIr
-2,31,Guten Tag Oktoberfest! @ Fireworks Festival Alexandra Palace https://t.co/ssGF8xPg5o
2,32,Littlehampton Bonfire Night #fireworks #bonfire #littlehamptonbonfirenight #littlehamptonbonfire @â€_ https://t.co/0Dl5a5Ml2X
-1,32,My #Christmastree is like fireworks _Ÿ˜± @ Colliers Wood https://t.co/k1DulhHSzF
-2,32,The New Fireworks print wet and freshly printed ! #cressidabell #fireworks #artdeco @ Cressida Bellâ€_ https://t.co/bGEwPpVj2G
0,34,Light Sabres at the fireworks tonight thanks to Uncle Mark #priorypark #fireworks #christmas2015â€_ https://t.co/g8jtamUqYg
-1,35,Fireworks!! (@ Battersea Park - @batterseapksw11 in Battersea  Greater London) https://t.co/mqhtVJjPRf
1,36,Fireworks time!_Ÿ_†_Ÿ_†_Ÿ_† (at @EalingCricket Club in Ealing  London) https://t.co/CUk7XXSGde
1,36,Fireworks with the family including Ty and Em _Ÿ’• @ Aylesbury Rugby Club Mix 96 Fireworks https://t.co/ocCkBDTJ47
2,37,_Ÿ_†_Ÿ_†_Ÿ_†_Ÿ_†_Ÿ_†_Ÿ’“#guyfawkesnight #guyfawkes #bonfirenight @ Fireworks Festival Alexandra Palace https://t.co/GUHbeCNqcH
-1,37,Ripley Ramble @ Ripley Fireworks https://t.co/haIrsLr1Zk
2,39,#guysfawkes #fireworks #bonfire #night #uk #2015 @ Leith Hill Tower https://t.co/2ObPZWKYGo
-1,39,@TinfoilTricorn the video makes it pretty clear that it was bootleg fireworks?
2,39,Bang Bang # fireworks #slowmotion @ Wimbledon Park Fireworks https://t.co/7gPJsKruKL
-2,40,#Kisses for my beautiful francesca_small! #Fireworks #KemptonParkâ€_ https://t.co/6xi0LorFVK
2,40,Unearthly scene #fireworks #canon @ Daneshill School https://t.co/Q0xsYb8NwH
1,41,#fireworks @ Crystal Palace National Sports Centre https://t.co/6yvOrm9dDZ
1,41,Fireworks #JesusGreen #bonfirenight  #mariastroka @ Jesus Green https://t.co/bDeh1Zx1qu
-1,41,Fireworks! Greenwich is on fire! _Ÿ_¥_Ÿ‡¬_Ÿ‡§_Ÿ’¥ #fireworks #5thnovember #greenwich #photoofthedayâ€_ https://t.co/ZKU3Gu5gHC
0,41,Fireworks. #blackheath #blackheathfireworks #london #londonfireworks #bonfire #bonfirenightâ€_ https://t.co/ad8XuTzfqt
