Score,ID,Text
2,498,Flypast during the Rugby World Cup @ Rugby World Cup Fanzone Richmond https://t.co/RhIb2LE4uZ
0,1040,Rugby World Cup _ôè_ rossdeyzel #southafrica @ Rugby World Cup South Africaäó_ https://t.co/TDjX43TR5m
0,301,Rugby World Cup: Welcome to the Rugby World Cup http://t.co/9LFfaK53B7 #London http://t.co/6qpPl5oeyy
1,998,Rugby World Cup _ôè_ rossdeyzel #southafrica @ Rugby World Cup South Africaäó_ https://t.co/zp2eJtNYJa
2,784,Rugby world cup! Come on England! @ Rugby World Cup Fan Zone  Richmond https://t.co/eRRfqBYxHk
0,498,The 2015 Rugby World Cup ceremony is just about to begin @ Rugby World Cup Opening Ceremony https://t.co/uxzy7HXz35
1,336,#MustSee äóñ Rugby World Cup 2015 Weäó»re incredibly excited for the kick-off of the 2015 Rugby World Cupäó_ https://t.co/UvkmId0i0j
1,382,Amazing final of the rugby World Cup! #rugby #world #cup #Australia #newzealand #amazing @ Twickenham https://t.co/fxCChH3w4R
1,301,3rd match of the rugby World Cup! USA v SA. Come on USA!! @melmush #rugbyworldcup @ Rugby World Cupäó_ https://t.co/pLDCicnk8I
1,73,"""""Rugby World Cup: Rugby to blossom for 2019 World Cup hosts Japan - BBC News"""""""" #feedly http://t.co/LUpu0Ro7rz"""""""
2,163,Public view of Rugby World Cup Final Game ~~~ äì_¥Ÿè _ôè_  #rugbyworldcup2015 @ Rugby World Cup 2015 Fanäó_ https://t.co/BPPKXJrajh
1,107,Enjoying Rugby World Cup   New Zealand vs Namibia #rwc2015 @ Rugby World Cup Olympic Stadium Newäó_ https://t.co/GpI28NAORb
0,797,Rugby World Cup Fun! #rwc2015 #wembley @ Wembley Stadium  New Zealand v Argentina  2015 Rugby World Cup https://t.co/5OwAufWNnT
1,200,World Cup #weartherose_ôë_ @ Rugby World Cup Opening Ceremony https://t.co/nf5KdTi71f
0,710,Rugby World Cup #RSA #USA #RWC2015 _ôè__ôˆ__ôˆŸ_ôˆË_ôˆ_ @ Rugby World Cup Olympic Stadium New Zealand v Namibia https://t.co/bFKrUa9iCO
2,510,#rugby rugby rugby! #scotland #samoa #itv #rugby #world #cup #guinness @ The Tipperary https://t.co/4hwGOpUC3q
-1,575,World Cup attendance record set at the Ireland Vs Romania rugby world cupäó_ https://t.co/lQ2vddcDs1
2,32,Rugby World Cup 2015: England ready to kick-start World Cup http://t.co/lQIaDphVil
0,104,Day off rugby. Local Rugby then Rugby world cup #BeingManlyPintOfFosterPlease @ Greenwich Rfc https://t.co/HzDgL8SJit
1,525,#rugby #world #cup2015 #StuartLancaster @ Twickenham Rugby Staduim https://t.co/etwzV8Fk1K
2,581,Rugby World Cup 2015. #RWC2015 @ Twickenham Rugby Staduim https://t.co/HC7YAlSu4A
1,198,Rugby World Cup - Day 2 @ Twickenham Rugby Staduim https://t.co/WNpoNO0Ntk
